Team/Country,Name,Discipline,Event,Total Gold,Total Silver,Total Bronze,Total Medals
Japan,MIZUTANI Jun / ITO Mima,Table Tennis,Mixed Doubles,27,14,17,58
Japan,Japan,Table Tennis,Women's Team,27,14,17,58
Poland,Poland,Table Tennis,Women's Team,4,5,5,14
Portugal,Portugal,Table Tennis,Men's Team,1,1,2,4
Republic of Korea,Republic of Korea,Table Tennis,Men's Team,6,4,10,20
Republic of Korea,LEE Sangsu / JEON Jihee,Table Tennis,Mixed Doubles,6,4,10,20
Republic of Korea,Republic of Korea,Table Tennis,Women's Team,6,4,10,20
Romania,IONESCU Ovidiu / SZOCS Bernadette,Table Tennis,Mixed Doubles,1,3,0,4
Romania,Romania,Table Tennis,Women's Team,1,3,0,4
Serbia,Serbia,Table Tennis,Men's Team,3,1,5,9
Slovakia,PISTEJ Lubomir / BALAZOVA Barbora,Table Tennis,Mixed Doubles,1,2,1,4
Slovenia,Slovenia,Table Tennis,Men's Team,3,1,1,5
Sweden,Sweden,Table Tennis,Men's Team,3,6,0,9
United States of America,United States,Table Tennis,Men's Team,39,41,33,113
United States of America,United States,Table Tennis,Women's Team,39,41,33,113
Australia,Australia,Triathlon,Mixed Relay,17,7,22,46
Austria,Austria,Triathlon,Mixed Relay,1,1,5,7
Belgium,Belgium,Triathlon,Mixed Relay,3,1,3,7
Canada,Canada,Triathlon,Mixed Relay,7,6,11,24
France,France,Triathlon,Mixed Relay,10,12,11,33
Germany,Germany,Triathlon,Mixed Relay,10,11,16,37
Great Britain,Great Britain,Triathlon,Mixed Relay,22,21,22,65
Hungary,Hungary,Triathlon,Mixed Relay,6,7,7,20
Italy,Italy,Triathlon,Mixed Relay,10,10,20,40
Japan,Japan,Triathlon,Mixed Relay,27,14,17,58
Mexico,Mexico,Triathlon,Mixed Relay,0,0,4,4
Netherlands,Netherlands,Triathlon,Mixed Relay,10,12,14,36
New Zealand,New Zealand,Triathlon,Mixed Relay,7,6,7,20
ROC,ROC,Triathlon,Mixed Relay,20,28,23,71
South Africa,South Africa,Triathlon,Mixed Relay,1,2,0,3
Spain,Spain,Triathlon,Mixed Relay,3,8,6,17
Switzerland,Switzerland,Triathlon,Mixed Relay,3,4,6,13
United States of America,United States,Triathlon,Mixed Relay,39,41,33,113
Argentina,Argentina,Volleyball,Men,0,1,2,3
Argentina,Argentina,Volleyball,Women,0,1,2,3
Brazil,Brazil,Volleyball,Men,7,6,8,21
Brazil,Brazil,Volleyball,Women,7,6,8,21
Canada,Canada,Volleyball,Men,7,6,11,24
People's Republic of China,China,Volleyball,Women,38,32,18,88
Dominican Republic,Dominican Rep.,Volleyball,Women,0,3,2,5
France,France,Volleyball,Men,10,12,11,33
Islamic Republic of Iran,Islamic Rep. of Iran,Volleyball,Men,3,2,2,7
Italy,Italy,Volleyball,Men,10,10,20,40
Italy,Italy,Volleyball,Women,10,10,20,40
Japan,Japan,Volleyball,Men,27,14,17,58
Japan,Japan,Volleyball,Women,27,14,17,58
Kenya,Kenya,Volleyball,Women,4,4,2,10
Poland,Poland,Volleyball,Men,4,5,5,14
Republic of Korea,Republic of Korea,Volleyball,Women,6,4,10,20
ROC,ROC,Volleyball,Men,20,28,23,71
ROC,ROC,Volleyball,Women,20,28,23,71
Serbia,Serbia,Volleyball,Women,3,1,5,9
Tunisia,Tunisia,Volleyball,Men,1,1,0,2
Turkey,Turkey,Volleyball,Women,2,2,9,13
United States of America,United States,Volleyball,Men,39,41,33,113
United States of America,United States,Volleyball,Women,39,41,33,113
Venezuela,Venezuela,Volleyball,Men,1,3,0,4
Australia,Australia,Water Polo,Men,17,7,22,46
Australia,Australia,Water Polo,Women,17,7,22,46
Canada,Canada,Water Polo,Women,7,6,11,24
People's Republic of China,China,Water Polo,Women,38,32,18,88
Croatia,Croatia,Water Polo,Men,3,3,2,8
Greece,Greece,Water Polo,Men,2,1,1,4
Hungary,Hungary,Water Polo,Men,6,7,7,20
Hungary,Hungary,Water Polo,Women,6,7,7,20
Italy,Italy,Water Polo,Men,10,10,20,40
Japan,Japan,Water Polo,Men,27,14,17,58
Japan,Japan,Water Polo,Women,27,14,17,58
Kazakhstan,Kazakhstan,Water Polo,Men,0,0,8,8
Netherlands,Netherlands,Water Polo,Women,10,12,14,36
ROC,ROC,Water Polo,Women,20,28,23,71
Serbia,Serbia,Water Polo,Men,3,1,5,9
South Africa,South Africa,Water Polo,Men,1,2,0,3
South Africa,South Africa,Water Polo,Women,1,2,0,3
Spain,Spain,Water Polo,Men,3,8,6,17
Spain,Spain,Water Polo,Women,3,8,6,17
United States of America,United States,Water Polo,Men,39,41,33,113
United States of America,United States,Water Polo,Women,39,41,33,113
